Date,Open,High,Low,Close,Adj Close,Volume
2001-08-09,1894.692017,1924.647949,1894.047974,1924.589966,1924.589966,0
2001-08-10,1929.962036,1956.396973,1929.688965,1955.036011,1955.036011,0
2001-08-13,1956.925049,1963.137939,1942.072021,1955.099976,1955.099976,0
2001-08-14,1955.506958,1960.947021,1924.269043,1939.541992,1939.541992,0
2001-08-15,1938.543945,1949.163940,1935.389038,1947.359009,1947.359009,0
2001-08-16,1948.266968,1950.463989,1918.490967,1919.645020,1919.645020,0
2001-08-17,1916.843018,1928.140991,1909.672974,1924.003052,1924.003052,0
2001-08-20,1923.098999,1937.155029,1917.094971,1934.489014,1934.489014,0
2001-08-21,1936.056030,1947.402954,1935.770020,1938.870972,1938.870972,0
2001-08-22,1935.535034,1935.557007,1891.352051,1903.446045,1903.446045,0
2001-08-23,1892.369995,1903.467041,1869.491943,1902.989990,1902.989990,0
2001-08-24,1903.385010,1912.186035,1883.234985,1886.800049,1886.800049,0
2001-08-27,1881.308960,1881.308960,1824.875000,1827.250000,1827.250000,0
2001-08-28,1816.659058,1843.439941,1795.567017,1843.385010,1843.385010,0
2001-08-29,1846.817017,1865.482056,1837.942017,1847.536011,1847.536011,0
2001-08-30,1846.187012,1846.541992,1831.020996,1839.630981,1839.630981,0
2001-08-31,1838.213989,1846.943970,1831.516968,1834.137939,1834.137939,0
2001-09-03,1831.703003,1831.796021,1813.366943,1817.189941,1817.189941,0
2001-09-04,1815.270020,1862.399048,1814.916992,1862.359985,1862.359985,0
2001-09-05,1868.360962,1888.901001,1863.833008,1868.270020,1868.270020,0
2001-09-06,1867.633057,1876.470947,1853.288940,1861.561035,1861.561035,0
2001-09-07,1858.241943,1858.241943,1807.140991,1808.843994,1808.843994,0
2001-09-10,1790.209961,1858.203979,1774.832031,1856.529053,1856.529053,0
2001-09-11,1859.965942,1871.130005,1849.612061,1863.780029,1863.780029,0
2001-09-12,1822.129028,1858.688965,1815.593018,1852.604004,1852.604004,0
2001-09-13,1851.614990,1857.854980,1837.816040,1839.909058,1839.909058,0
2001-09-14,1838.673950,1846.015015,1814.744019,1818.381958,1818.381958,0
2001-09-17,1811.904053,1816.259033,1782.503052,1784.608032,1784.608032,0
2001-09-18,1784.590942,1817.558960,1780.046021,1798.621948,1798.621948,0
2001-09-19,1800.239014,1822.972046,1784.911011,1822.694946,1822.694946,0
2001-09-20,1826.416992,1836.786011,1814.458984,1818.418945,1818.418945,0
2001-09-21,1815.562012,1821.340942,1803.802002,1807.019043,1807.019043,0
2001-09-24,1804.886963,1808.703003,1791.620972,1794.961060,1794.961060,0
2001-09-25,1799.979004,1813.307007,1788.401978,1793.884033,1793.884033,0
2001-09-26,1793.651001,1793.670044,1765.168945,1767.813965,1767.813965,0
2001-09-27,1765.621948,1779.133057,1750.764038,1764.932007,1764.932007,0
2001-09-28,1766.130005,1774.296997,1751.720947,1764.866943,1764.866943,0
2001-10-01,1764.869995,1764.869995,1764.869995,1764.869995,1764.869995,0
2001-10-02,1764.869995,1764.869995,1764.869995,1764.869995,1764.869995,0
2001-10-03,1764.869995,1764.869995,1764.869995,1764.869995,1764.869995,0
2001-10-04,1764.869995,1764.869995,1764.869995,1764.869995,1764.869995,0
2001-10-05,1764.869995,1764.869995,1764.869995,1764.869995,1764.869995,0
2001-10-08,1766.133057,1773.797974,1723.040039,1726.532959,1726.532959,0
2001-10-09,1724.172974,1751.066040,1722.223022,1744.640015,1744.640015,0
2001-10-10,1744.041992,1744.636963,1683.707031,1686.612061,1686.612061,0
2001-10-11,1682.317017,1693.214966,1634.208008,1638.326050,1638.326050,0
2001-10-12,1637.749023,1700.708008,1598.792969,1691.326050,1691.326050,0
2001-10-15,1692.172974,1703.588013,1670.265015,1687.280029,1687.280029,0
2001-10-16,1689.187012,1691.651001,1649.201050,1655.901978,1655.901978,0
2001-10-17,1654.928955,1661.881958,1635.916016,1643.066040,1643.066040,0
2001-10-18,1642.011963,1651.109985,1609.381958,1615.578979,1615.578979,0
2001-10-19,1610.444946,1610.444946,1550.911987,1572.453003,1572.453003,0
2001-10-22,1558.468018,1563.397949,1514.862061,1520.668945,1520.668945,0
2001-10-23,1642.219971,1670.738037,1625.149048,1670.562012,1670.562012,0
2001-10-24,1733.636963,1744.922974,1685.715942,1718.060059,1718.060059,0
